tconst,titleType,primaryTitle,genres,Sinopsis,emocion,tmdb_id,imagen,plataformas,link,inPeru
tt0096283,movie,My Neighbor Totoro,"[16, 35, 10751]","Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",fear,8392.0,https://image.tmdb.org/t/p/w500/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,['Netflix'],https://www.themoviedb.org/movie/8392/watch?locale=PE,True
tt0097165,movie,Dead Poets Society,"[35, 18]","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",anger,207.0,https://image.tmdb.org/t/p/w500/azrIJJfdEL3UQhBmWhFe2b7bSCX.jpg,['Star Plus'],https://www.themoviedb.org/movie/207-dead-poets-society/watch?locale=PE,True
tt0097576,movie,Indiana Jones and the Last Crusade,"[28, 12]","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",joy,89.0,https://image.tmdb.org/t/p/w500/npUCnxl1fqgt3aQiMQq0iJdZMZp.jpg,"['Disney Plus', 'Amazon Prime Video', 'Paramount Plus', 'Claro video', 'Paramount Plus Apple TV Channel ']",https://www.themoviedb.org/movie/89-indiana-jones-and-the-last-crusade/watch?locale=PE,True
tt0098214,movie,Red Dawn,"[18, 53]","On October 2, 1968, a student uprising descends into violence after the Mexican government begins to use lethal force against the protesters.",anger,47916.0,https://image.tmdb.org/t/p/w500/iM6w5hUnxUAeRkDC4bYaGmD96nl.jpg,['Claro video'],https://www.themoviedb.org/movie/47916-rojo-amanecer/watch?locale=PE,True
tt0099685,movie,Goodfellas,"[-1, 80, 18]","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",anger,769.0,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,['HBO Max'],https://www.themoviedb.org/movie/769-goodfellas/watch?locale=PE,True
tt0100692,movie,Step Across the Border,"[99, 10402]","An avant-garde documentary film on English guitarist, composer and improviser Fred Frith.",anger,112785.0,https://image.tmdb.org/t/p/w500/qXVmk9407TE0xZbxSehizbDOHjD.jpg,['DocAlliance Films'],https://www.themoviedb.org/movie/112785-step-across-the-border/watch?locale=PE,True
tt0101414,movie,Beauty and the Beast,"[16, 10751, 14]","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",joy,10020.0,https://image.tmdb.org/t/p/w500/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,['Disney Plus'],https://www.themoviedb.org/movie/10020-beauty-and-the-beast/watch?locale=PE,True
tt0102138,movie,JFK,"[18, 36, 53]",Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,anger,820.0,https://image.tmdb.org/t/p/w500/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,"['Star Plus', 'HBO Max']",https://www.themoviedb.org/movie/820-jfk/watch?locale=PE,True
tt0102926,movie,The Silence of the Lambs,"[80, 18, 53]","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",joy,274.0,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/274-the-silence-of-the-lambs/watch?locale=PE,True
tt0103064,movie,Terminator 2: Judgment Day,"[28, -1]","Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.",anger,280.0,https://image.tmdb.org/t/p/w500/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/280-terminator-2-judgment-day/watch?locale=PE,True
tt0103639,movie,Aladdin,"[12, 16, 35]","Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street urchin Aladdin. The couple falls in love, although Jasmine may only marry a prince. After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",anger,812.0,https://image.tmdb.org/t/p/w500/fhyun1mja3WwQsYr1a3x1x9BttP.jpg,['Disney Plus'],https://www.themoviedb.org/movie/812-aladdin/watch?locale=PE,True
tt0104810,movie,Manufacturing Consent: Noam Chomsky and the Media,"[-1, 99, 10752]",A film about the noted American linguist/political dissident and his warning about corporate media's role in modern propaganda.,anger,36947.0,https://image.tmdb.org/t/p/w500/2Izpz5pgB5ScVrXkIxK4TXDxZLn.jpg,['DocAlliance Films'],https://www.themoviedb.org/movie/36947-manufacturing-consent-noam-chomsky-and-the-media/watch?locale=PE,True
tt0105236,movie,Reservoir Dogs,"[80, 53]","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",anger,500.0,https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,['Lionsgate Plus'],https://www.themoviedb.org/movie/500-reservoir-dogs/watch?locale=PE,True
tt0105271,movie,Roja,"[18, 10749, 53]","Roja lives in a Tamil village, and her sister is about to marry a man from the city, who decides to marry Roja instead and gets a job assignment in Kashmir, where some militants decide to kidnap them.",anger,21463.0,https://image.tmdb.org/t/p/w500/6kHsXNX6pJ0VQSSHWBTNCIcon4R.jpg,['Sun Nxt'],https://www.themoviedb.org/movie/21463/watch?locale=PE,True
tt0105695,movie,Unforgiven,"[18, 37]","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",anger,33.0,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg,['HBO Max'],https://www.themoviedb.org/movie/33-unforgiven/watch?locale=PE,True
tt0107290,movie,Jurassic Park,"[28, 12, -1]","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",joy,329.0,https://image.tmdb.org/t/p/w500/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,"['Netflix', 'Amazon Prime Video', 'Star Plus', 'Claro video']",https://www.themoviedb.org/movie/329-jurassic-park/watch?locale=PE,True
tt0108052,movie,Schindler's List,"[-1, 18, 36]",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,anger,424.0,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,['HBO Max'],https://www.themoviedb.org/movie/424-schindler-s-list/watch?locale=PE,True
tt0109424,movie,Chungking Express,"[35, 80, 18]","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",anger,11104.0,https://image.tmdb.org/t/p/w500/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,['MUBI'],https://www.themoviedb.org/movie/11104/watch?locale=PE,True
tt0109830,movie,Forrest Gump,"[18, 10749]","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",joy,13.0,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"['Paramount Plus', 'Paramount Plus Apple TV Channel ']",https://www.themoviedb.org/movie/13-forrest-gump/watch?locale=PE,True
tt0110357,movie,The Lion King,"[12, 16, 18]","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",sadness,8587.0,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,['Disney Plus'],https://www.themoviedb.org/movie/8587-the-lion-king/watch?locale=PE,True
tt0110413,movie,Léon: The Professional,"[28, 80, 18]","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",sadness,101.0,https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"['Netflix', 'Amazon Prime Video', 'Paramount Plus Apple TV Channel ']",https://www.themoviedb.org/movie/101-leon-the-professional/watch?locale=PE,True
tt0110912,movie,Pulp Fiction,"[80, 18]","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",anger,680.0,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,['Lionsgate Plus'],https://www.themoviedb.org/movie/680-pulp-fiction/watch?locale=PE,True
tt0111161,movie,The Shawshank Redemption,[18],"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",anger,278.0,https://image.tmdb.org/t/p/w500/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,['HBO Max'],https://www.themoviedb.org/movie/278-the-shawshank-redemption/watch?locale=PE,True
tt0112471,movie,Before Sunrise,"[18, 10749]","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",sadness,76.0,https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,['HBO Max'],https://www.themoviedb.org/movie/76-before-sunrise/watch?locale=PE,True
tt0112573,movie,Braveheart,"[-1, 18, 36]","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",anger,197.0,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,['Star Plus'],https://www.themoviedb.org/movie/197-braveheart/watch?locale=PE,True
tt0112641,movie,Casino,"[80, 18]","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",anger,524.0,https://image.tmdb.org/t/p/w500/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/524-casino/watch?locale=PE,True
tt0112870,movie,Dilwale Dulhania Le Jayenge,"[18, 10749]","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",joy,19404.0,https://image.tmdb.org/t/p/w500/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/19404/watch?locale=PE,True
tt0113247,movie,La haine,"[80, 18]","After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",fear,406.0,https://image.tmdb.org/t/p/w500/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg,['MUBI'],https://www.themoviedb.org/movie/406-la-haine/watch?locale=PE,True
tt0113277,movie,Heat,"[28, 80, 18]",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,joy,949.0,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,"['Netflix', 'Amazon Prime Video', 'Star Plus', 'HBO Max', 'MUBI']",https://www.themoviedb.org/movie/949-heat/watch?locale=PE,True
tt0114369,movie,Se7en,"[80, 18, 9648]","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",anger,807.0,https://image.tmdb.org/t/p/w500/6yoghtyTpznpBik8EngEmJskVUO.jpg,['HBO Max'],https://www.themoviedb.org/movie/807-se7en/watch?locale=PE,True
tt0114709,movie,Toy Story,"[12, 16, 35]","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",fear,862.0,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,['Disney Plus'],https://www.themoviedb.org/movie/862-toy-story/watch?locale=PE,True
tt0114746,movie,12 Monkeys,"[9648, -1, 53]","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",anger,63.0,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,['HBO Max'],https://www.themoviedb.org/movie/63-twelve-monkeys/watch?locale=PE,True
tt0117951,movie,Trainspotting,[18],"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",anger,627.0,https://image.tmdb.org/t/p/w500/bhY62Dw8iW54DIhxPQerbuB9DOP.jpg,['HBO Max'],https://www.themoviedb.org/movie/627-trainspotting/watch?locale=PE,True
tt0118694,movie,In the Mood for Love,"[18, 10749]",Two neighbors become intimate after discovering that their spouses are having an affair with one another.,anger,843.0,https://image.tmdb.org/t/p/w500/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,['MUBI'],https://www.themoviedb.org/movie/843/watch?locale=PE,True
tt0119488,movie,L.A. Confidential,"[80, 18, 9648]",Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,anger,2118.0,https://image.tmdb.org/t/p/w500/lWCgf5sD5FpMljjpkRhcC8pXcch.jpg,"['Amazon Prime Video', 'Star Plus', 'HBO Max']",https://www.themoviedb.org/movie/2118-l-a-confidential/watch?locale=PE,True
tt0119698,movie,Princess Mononoke,"[28, 12, 16]","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",anger,128.0,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,['Netflix'],https://www.themoviedb.org/movie/128/watch?locale=PE,True
tt0120586,movie,American History X,"[80, 18]","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",anger,73.0,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/73-american-history-x/watch?locale=PE,True
tt0120689,movie,The Green Mile,"[80, 18, 14]","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",joy,497.0,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/497-the-green-mile/watch?locale=PE,True
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","[28, 35, 80]",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,anger,100.0,https://image.tmdb.org/t/p/w500/8kSerJrhrJWKLk1LViesGcnrUPE.jpg,"['Amazon Prime Video', 'Lionsgate Plus']",https://www.themoviedb.org/movie/100-lock-stock-and-two-smoking-barrels/watch?locale=PE,True
