tconst,titleType,primaryTitle,genres,Sinopsis
tt0086250,movie,Scarface,"[80, 18]","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
tt0086358,movie,State buoni se potete,"[35, 18, 36]","Around the year 1500, the Italian priest Don Filippo Neri helps street kids and orphans in his poor little chapel."
tt0086466,movie,La tragédie de Carmen,"[18, -1]",Peter Brooks' adaptation of Carmen by Mérimée and Bizet.
tt0086639,movie,Zhil-byl Pyotr,[18],
tt0086879,movie,Amadeus,"[-1, 18, 10402]","Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men."
tt0086935,movie,Balkan Spy,"[35, 18]","Convinced that his subtenant is a spy and an enemy of the state, Ilija Čvorović falls into deep paranoia which leads to absurd and destructive chain of events."
tt0087123,movie,Strangler vs. Strangler,"[35, 80, 27]","When it comes to crime, Belgrade is same as any other modern metropolis, except for having its own serial killers. That blank is filled when a flower salesman begins strangling women. A popular, but very disturbed rock star soon becomes telepathically connected with the killer."
tt0087301,movie,Hibiscus Town,"[18, 36, 10749]","Based on a novel by the same name written by Gu Hua, a melodrama about the life and travails of a young woman who lives through the turmoil of the Cultural Revolution."
tt0087349,movie,"Blue Mountains, or Unbelievable Story","[35, 18]",An author - a passive young man - enters the Soviet-controlled bureaucracy of Georgia attempting to get his novel published only to be neglected and compartmentalized at every turn.
tt0087488,movie,"István, a király","[18, 36, 10402]","István, a király (""Stephen, the King"") is a Hungarian rock opera written by Levente Szörényi (music) and János Bródy (lyrics), based on the life of Saint Stephen of Hungary. The storyline was based on the play Ezredforduló (Turn of the Millennium) by Miklós Boldizsár, who co-wrote the libretto.  The opera was first staged in 1983 on an open-air stage in Budapest. This first performance was also made into a 1984 film, directed by Gábor Koltay, and its music released on an album. The musical became a smash hit and is still very popular in Hungary and among Hungarian minorities in neighboring countries."
tt0087544,movie,Nausicaä of the Valley of the Wind,"[12, 16, -1]","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth."
tt0087731,movie,Give the Devil His Due,"[12, 35, 10751]","Dorota, a bad woman married the miller, out of sheer greed drives him to death. She then took the mill away from his son Peter and threw him out of the hime. Lucifer, who is known to rule in hell, sends out the devil Janek. He is supposed to fetch Dorota because the measure of her earthly sins is overflowing. But the devil himself can not handle this evil woman and flees to the military. There he meets Peter. By joining forces, they finally succeed in transporting the wicked Dorota to hell. Since then hell is hell. But for Peter, who is suddenly in possession of a magic mantle, begins a nice time, because strangely, the prince shows great interest in him."
tt0087843,movie,Once Upon a Time in America,"[80, 18]","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
tt0087884,movie,"Paris, Texas",[18],"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier."
tt0088031,movie,Saaransh,[18],A retired school teacher and his wife come to terms with life after the death of their only son in a mugging incident on the streets of New York.
tt0088040,movie,The Holy Innocents,[18],"Somewhere in the spanish country, in the 60s. Paco and his wife Régula are very poor. They work as tenant farmers for a very wealthy landowner. They have 3 children. One is backward. The others can not got to school because the master ""needs"" their work. When Regula's brother is fired from where he has worked for 61 years, he settles down at their little place... An attack against the archaism of the spanish country of the 60s."
tt0088178,movie,Stop Making Sense,"[99, 10402]","A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals."
tt0088196,movie,Streetwise,"[99, 18]","This documentary about teenagers living on the streets in Seattle began as a magazine article. The film follows nine teenagers who discuss how they live by panhandling, prostitution, and petty theft."
tt0088247,movie,The Terminator,"[28, -1]","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?"
tt0088275,movie,The Times of Harvey Milk,"[-1, 99, 36]","Harvey Milk was an outspoken human rights activist and one of the first openly gay U.S. politicians elected to public office; even after his assassination in 1978, he continues to inspire disenfranchised people around the world."
tt0088338,movie,The Elusive Summer of '68,"[35, 18, 10749]","For the young man who lives in Serbian province town, the maturing coincides with the turbulent political events of the year 1968."
tt0088763,movie,Back to the Future,"[12, 35, -1]","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
tt0088837,movie,"Hamara Shahar - Bombay, Our City",[99],"A documentary on the socio-economic injustice meted out to the slum-dwellers in Bombay, and an attempt to understand the factors responsible for it."
tt0089108,movie,Waiting for the Hearse,[35],"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?"
tt0089247,movie,Half Life,[99],"The film features interviews with residents of the nearby Rongelap and Utirik Atolls who were affected by nuclear fallout from the tests. Unlike in previous nuclear tests and despite the considerably more powerful nuclear explosion involved, these residents were not relocated to a safer location. Declassified American military footage is included in the production"
tt0089586,movie,Mexicano ¡Tú puedes!,[18],"Vicente and Carmen, are spouses, he works in a factory, although he is a womanizer and irresponsible; she sells cosmetics or fayuca. Both dream of owning a home. Vincent did not want to leave their neighborhood but after several discussions they decide to buy a land..."
tt0089881,movie,Ran,"[28, 18, 10752]","With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power."
tt0089916,movie,Ri Chu,[18],A woman leaves her husband after the death of their son. She becomes a well-known but unhappy socialite.
tt0090015,movie,Shoah,"[99, 36, 10752]","Director Claude Lanzmann spent 11 years on this sprawling documentary about the Holocaust, conducting his own interviews and refusing to use a single frame of archival footage. Dividing Holocaust witnesses into three categories – survivors, bystanders and perpetrators – Lanzmann presents testimonies from survivors of the Chelmno concentration camp, an Auschwitz escapee and witnesses of the Warsaw Ghetto Uprising, as well as a chilling report of gas chambers from an SS officer at Treblinka."
tt0090109,movie,Swathi Muthyam,"[18, 10751, 10749]","After an autistic man impulsively marries a young widow, she must move to the city and ensure the welfare of her new family, against the glare of societal judgement and financial struggle."
tt0090141,movie,Tears Are Not Enough,"[99, 10402]","On 10 February 1985, fifty-three of Canada's top performers gathered together to record the song Tears Are Not Enough in an effort to generate aid to famine victims in Africa. This is a behind-the-scenes look at that historic session, filled with moments of excitement, pathos, humor and magic."
tt0090299,movie,Waterwalker,[99],"Naturalist Bill Mason on his journey by canoe into the Ontario wilderness. The filmmaker and artist begins on Lake Superior, then explores winding and sometimes tortuous river waters to the meadowlands of the river's source. Along the way, Mason paints scenes that capture his attention and muses about his love of the canoe, his artwork and his own sense of the land. Mason also uses the film as a commentary on the link between God and nature and the vast array of beautiful canvases God created for him to paint. Features breathtaking visuals and exciting whitewater footage, with a musical score by Bruce Cockburn."
tt0090340,movie,Wreaths at the Foot of the Mountain,"[18, 10752]","Wreaths at the Foot of the Mountain is a 1984 Chinese film about the life of the soldiers in a PLA army company before, during and after the Sino-Vietnamese War."
tt0090605,movie,Aliens,"[28, 12, -1]","When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
tt0090982,movie,The Wall,[18],"Produced, written and directed by Yılmaz Güney within his own personal experiences of capital offense, he dedicates Duvar to male teenagers aged 13 to 19 living behind the bars under diabolical treatments. These teenagers get barbaric corporal punishments, injurious harrows, tortures and sexual abuses just for taking the responsibility of their destiny on a wrong turn."
tt0091018,movie,Ethnic Notions,[99],This documentary traces the deep-rooted stereotypes which have fueled anti-black prejudice.
tt0091215,movie,El hombre que ganó la razón,[18],"While searching for the theme for his new novel, a writer interacts with various characters with whom he interacts."
tt0091251,movie,Come and See,"[18, 53, 10752]","The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope."
tt0091256,movie,Permission,"[18, -1, 10749]",An estranged couple accidentally meet in a railway station's waiting room and revisit their past.
tt0091288,movie,Jean de Florette,"[35, 18]","In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water."
tt0091398,movie,The Beauty of Vice,[18],"In the mountains of Montenegro people have lived by strict and Draconian laws for centuries, almost untouched by modern civilization. However, a young couple are going to seek their fortune on the more liberal coast and there they find jobs in the nudist colony. Hundreds of naked bodies and atmosphere of joie d'vivre make the husband and wife question their rigid way of life."
tt0091480,movie,Manon of the Spring,"[18, 37]","In this, the sequel to Jean de Florette, Manon has grown into a beautiful young shepherdess living in the idyllic Provencal countryside. She plots vengeance on the men who greedily conspired to acquire her father's land years earlier."
tt0091559,movie,Mouna Ragam,"[18, 10749]","Divya, a college student, mourns the untimely death of her lover, Manohar. Due to familial pressure, she is forced to marry Chandrakumar, but she asks for a divorce as a wedding gift."
tt0091726,movie,Partisans of Vilna,[99],"This extraordinary film tells the story of the men and women who formed the Jewish partisan movement in Vilna, Lithuania, during World War II. Using rare archival film footage dating from 1939 to 1944 and contemporary interviews with 40 partisan survivors (including Abba Kovner, a founder of the partisan movement and one of Israel's leading poets) the film explores the difficulties of organizing under the anarchic conditions of the ghetto."
tt0091763,movie,Platoon,"[18, 10752]","As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man."
tt0092001,movie,St. John in Exile,[18],"Dean Jones is Saint John in this intimate, inspiring one-man presentation of John in exile on Patmos. Full of humor, strong in spirit, and resolutely committed to Christ, John shares his account of the events that changed the course of human history---and challenges us with his last words before his death: ""Little children, love one another."""
tt0092005,movie,Stand by Me,"[12, 35, 18]","Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild."
tt0092067,movie,Castle in the Sky,"[12, 16, 10751]",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
tt0092184,movie,Horvatov izbor,[18],"It is 1918, the evening of The Great War. Austro-Hungarian empire is collapsing, and all around Croatia there are outlaw deserters, fighting in forests. A city journalist decides to become a country schoolteacher, just to find some peace in that restless political situation. But, neither the village is safe from the militaristic policy of the imperial goverment."
tt0092557,movie,Anantaram,[18],"A young man narrates two conflicting accounts of his life, changing the details and incidents in both, as he slowly approaches madness."
tt0092567,movie,Angel in the Wardrobe,[18],"About a sound designer for films who years ago, while in bed with his mistress, failed to respond to calls for help outside his door. Now during the recording of the audio track for a new film he begins to hear strange noises on his headphones."
tt0092593,movie,"Goodbye, Children","[18, 10752]","Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie—until a secret is revealed. Based on events from writer-director Malle’s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening."
tt0092956,movie,Portrait of a Life,[18],
tt0092963,movie,The Emperor's Naked Army Marches On,[99],"Kenzo Okuzaki, a 62-year-old veteran of the New Guinea campaign in World War II, sets out to conduct interviews with survivors and relatives to find the truth behind atrocities committed while the Japanese garrison was surrounded, in particular the unexplained killing of two Japanese privates in his unit."
tt0093058,movie,Full Metal Jacket,"[18, 10752]",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
tt0093132,movie,Hachi-ko,"[-1, 18, 10751]","The tragic, true story about Hachikō, an Akita dog who was loyal to his master, Professor Ueno, even after Ueno's death."
tt0093136,movie,Halodhia Choraye Baodhan Khai,[18],A simple farmer becomes the victim of a greedy landowner in this social melodrama. Bora (Indra Bania) is forced to give up the farm his father had paid for when the landowner asks for a mortgage receipt that was never given. He loses his livestock and sends his young son to work as an errand boy to the villainous landlord. Bora's ultimate humiliation occurs when he is forced to put up political banners that espouse the virtues of the man who drove him from his land and ruined his life.
tt0093181,movie,Hero: The Official Film of the 1986 FIFA World Cup,"[99, -1]","1986 FIFA World Cup Official Film. Mexico had just recovered from a devastating earthquake, but the nation put on a great tournament and Argentina, inspired by Maradona, justified ""favourite"" status. Eighty-six minutes of football magic from numerous world stars, including Diego Maradona, Gary Lineker, Michel Platini, Socrates, Rummenigge, Sanchez, Laudrup and many others. Michael Caine narrates this, the official FIFA coverage."
tt0093183,movie,The Hero's Journey: The World of Joseph Campbell,"[-1, 99]","One of the greatest storytellers of our time, and arguably the greatest mythologist, Joseph Campbell spent most of his long, rich career explaining how ancient myths like the Hero’s Journey are relevant to modern life. In understanding the importance of myth as a vital, vibrant source of ""mankind’s one great story,"" Campbell inspired others to embark on a quest for the meaning of myth in their own lives. This biographical portrait, filmed shortly before his death in 1987, follows Campbell’s personal quest—a pathless journey of questioning, discovery, and ultimately of delight and joy in a life to which he said, ""Yes."""
tt0093285,movie,It Was 20 Years Ago Today,"[99, 10402]","An examination of the classic rock album, Sgt. Pepper's Lonely Hearts Club Band, and the year of its debut, 1967."
tt0093312,movie,Jimi Plays Monterey,"[99, 10402]","It's no exaggeration to say this might be the most intense and groundbreaking 45-minute performance in the history of rock. Jimi Hendrix's debut American set at 1967's Monterey Pop Festival is generally considered one of the most radical and legendary live shows ever. Virtually unknown to American audiences at the time, even though he was already an established entity in the UK, Hendrix and his two-piece Experience explode on stage, ripping through blues classics ""Rock Me Baby"" and Howlin' Wolf's ""Killing Floor,"" interpreting and electrifying Bob Dylan's ""Like a Rolling Stone,"" debuting songs from his yet-to-be-released first album and closing with the now historic sacrificing/burning of his guitar during an unhinged version of ""Wild Thing"" that even its writer Chip Taylor would never have imagined. Hendrix uses feedback and distortion to enhance the songs in whisper-to-scream intensity, blazing territory that had not been previously explored with as much soul-frazzled power."
tt0093342,movie,Where Is the Friend's House?,"[18, 10751]","An 8 year old boy must return his friend's notebook he took by mistake, lest his friend be punished by expulsion from school."
tt0093427,movie,Queen Live in Budapest,"[99, 10402]","On 27th July 1986, British stadium rock band Queen broke new ground by playing for the first time in Hungary, a country which was still under a communist dictatorship behind the Iron Curtain."
tt0093603,movie,Nayakan,"[80, 18]","Velu Naicker, who witnesses the brutal murder of his father, kills a corrupt policeman and escapes to Mumbai, only to become a gangster."
tt0093720,movie,A Tale from the Past,[35],"To meet the desires and needs of the parents, a marriage is arranged between 14-year-old Gjino and 20-year-old Marigo. Gjino reluctantly obeys, but Marigo, who loves another, tries various devious methods to free herself from this bizarre marriage agreement."
tt0093754,movie,Repentance,[18],"The day after the funeral of Varlam Aravidze, the mayor of a small Georgian town, his corpse turns up in his son's garden.  Although it is secretly reburied, the corpse keeps returning until the police capture the local woman who is responsible.  This woman says that Varlam should never be laid to rest since his Stalin-like reign of terror led to the disappearance of her family and friends."
tt0093779,movie,The Princess Bride,"[12, 35, 10751]","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."
tt0093970,movie,Sign 'o' the Times,"[99, 10402]","In 1987, to capitalize on his growing success in Europe, Prince toured extensively to promote the album of the same name and sales increased accordingly. However, the United States remained resistant to his latest album, and sales began to drop; it was at this point that Prince decided to film a live concert promoting the new material, for eventual distribution to theaters in America.  Featuring the band that accompanied Prince on his 1987 Sign o' the Times Tour, including dancer Cat Glover, keyboardist Boni Boyer, bassist Levi Seacer, Jr., guitarist Miko Weaver, drummer Sheila E. and former member of The Revolution keyboardist Dr. Fink, the film sees the group perform live on stage (although ""U Got the Look"" is represented by its promotional music video)."
tt0094250,movie,Los Verduleros 2,[35],"Two police officers decide to open a police academy where many applicants are enrolled, most of them stupid and without powers."
tt0094590,movie,Depeche Mode: 101,"[99, 10402]",A fascinating documentary focusing on backstage realities of art and business during the British synthesizer band's 1988 American tour.
tt0094625,movie,Akira,"[28, 16, 18]",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.
tt0094743,movie,Big Time,"[99, 10402]","Bringing his unique sense of humor to this bizarre and original piece of moviemaking, Tom Waits takes the audience through a musical journey with his jazzy, quirky, bluesy tunes presented as you would never, ever, ever expect."
tt0094760,movie,The Blizzard of AAHHH's,"[99, -1]",Greg Stump's rockumentary-style ski film inspired a whole new generation of skiers when it was first released in 1988. Taking a look at the heroes of the ski world -- both known and unknown -- Blizzard of Ahhhs features some of the best ski action ever filmed.
tt0094951,movie,Daasi,[18],"The story is of Kamalakshi (Archana), a bonded woman known as Daasi in Hyderabad State in the 1920s in Telangana region. She has been sold by her family for money to be the servant of a wealthy couple. She is expected to do every chore imaginable in their house. She is also required to be the sexual toy of the man of the house (Dora) and his guests - anywhere and at any time of the day or night. When she becomes pregnant, she endures and hopes to keep the baby. However she is forced to have an abortion."
tt0095016,movie,Die Hard,"[28, 53]","NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
tt0095301,movie,High Fidelity,"[-1, 99, 10402]","Relationships, rehearsals, performances, hobbies, and family life of the members of the Guarneri String Quartet."
tt0095318,movie,Hong yi shao nu,[18],"Sixteen-year-old An-ran gets into repeated trouble because she refuses blind obedience to authority, openly challenging and correcting a teacher who makes a mistake in class. She is different."
