tconst,titleType,primaryTitle,genres,emocion
tt0088031,movie,Saaransh,[18],anger
tt0088040,movie,The Holy Innocents,[18],anger
tt0088178,movie,Stop Making Sense,"[99, 10402]",joy
tt0088196,movie,Streetwise,"[99, 18]",anger
tt0088247,movie,The Terminator,"[28, -1]",fear
tt0088275,movie,The Times of Harvey Milk,"[-1, 99, 36]",anger
tt0088338,movie,The Elusive Summer of '68,"[35, 18, 10749]",anger
tt0088763,movie,Back to the Future,"[12, 35, -1]",anger
tt0088837,movie,"Hamara Shahar - Bombay, Our City",[99],anger
tt0089108,movie,Waiting for the Hearse,[35],anger
tt0089247,movie,Half Life,[99],anger
tt0089586,movie,Mexicano ¡Tú puedes!,[18],sadness
tt0089881,movie,Ran,"[28, 18, 10752]",joy
tt0089916,movie,Ri Chu,[18],sadness
tt0090015,movie,Shoah,"[99, 36, 10752]",anger
tt0090109,movie,Swathi Muthyam,"[18, 10751, 10749]",sadness
tt0090141,movie,Tears Are Not Enough,"[99, 10402]",joy
tt0090299,movie,Waterwalker,[99],joy
tt0090340,movie,Wreaths at the Foot of the Mountain,"[18, 10752]",anger
tt0090605,movie,Aliens,"[28, 12, -1]",fear
tt0090982,movie,The Wall,[18],anger
tt0091018,movie,Ethnic Notions,[99],anger
tt0091215,movie,El hombre que ganó la razón,[18],anger
tt0091251,movie,Come and See,"[18, 53, 10752]",anger
tt0091256,movie,Permission,"[18, -1, 10749]",anger
tt0091288,movie,Jean de Florette,"[35, 18]",sadness
tt0091398,movie,The Beauty of Vice,[18],anger
tt0091480,movie,Manon of the Spring,"[18, 37]",anger
tt0091559,movie,Mouna Ragam,"[18, 10749]",sadness
tt0091726,movie,Partisans of Vilna,[99],anger
tt0091763,movie,Platoon,"[18, 10752]",sadness
tt0092001,movie,St. John in Exile,[18],joy
tt0092005,movie,Stand by Me,"[12, 35, 18]",fear
tt0092067,movie,Castle in the Sky,"[12, 16, 10751]",fear
tt0092184,movie,Horvatov izbor,[18],fear
tt0092557,movie,Anantaram,[18],anger
tt0092567,movie,Angel in the Wardrobe,[18],fear
tt0092593,movie,"Goodbye, Children","[18, 10752]",sadness
tt0092956,movie,Portrait of a Life,[18],anger
tt0092963,movie,The Emperor's Naked Army Marches On,[99],anger
tt0093058,movie,Full Metal Jacket,"[18, 10752]",anger
tt0093132,movie,Hachi-ko,"[-1, 18, 10751]",sadness
tt0093136,movie,Halodhia Choraye Baodhan Khai,[18],anger
tt0093181,movie,Hero: The Official Film of the 1986 FIFA World Cup,"[99, -1]",joy
tt0093183,movie,The Hero's Journey: The World of Joseph Campbell,"[-1, 99]",sadness
tt0093285,movie,It Was 20 Years Ago Today,"[99, 10402]",joy
tt0093312,movie,Jimi Plays Monterey,"[99, 10402]",anger
tt0093342,movie,Where Is the Friend's House?,"[18, 10751]",anger
tt0093427,movie,Queen Live in Budapest,"[99, 10402]",anger
tt0093603,movie,Nayakan,"[80, 18]",anger
tt0093720,movie,A Tale from the Past,[35],anger
tt0093754,movie,Repentance,[18],anger
tt0093779,movie,The Princess Bride,"[12, 35, 10751]",anger
tt0093970,movie,Sign 'o' the Times,"[99, 10402]",anger
tt0094250,movie,Los Verduleros 2,[35],anger
tt0094590,movie,Depeche Mode: 101,"[99, 10402]",surprise
tt0094625,movie,Akira,"[28, 16, 18]",anger
tt0094743,movie,Big Time,"[99, 10402]",joy
tt0094760,movie,The Blizzard of AAHHH's,"[99, -1]",joy
tt0094951,movie,Daasi,[18],anger
tt0095016,movie,Die Hard,"[28, 53]",anger
tt0095301,movie,High Fidelity,"[-1, 99, 10402]",joy
tt0095318,movie,Hong yi shao nu,[18],anger
tt0095327,movie,Grave of the Fireflies,"[16, 18, 10752]",sadness
tt0095437,movie,Kennywood Memories,[99],joy
tt0095467,movie,A Short Film About Love,"[18, 10749]",joy
tt0095468,movie,A Short Film About Killing,"[80, 18]",anger
tt0095487,movie,Laibach: Pobeda pod suncem,"[99, 10402]",joy
tt0095657,movie,The Moromete Family,[18],anger
tt0095765,movie,Cinema Paradiso,"[18, 10749]",joy
tt0095953,movie,Rain Man,[18],anger
tt0096257,movie,The Thin Blue Line,"[80, 99]",anger
tt0096283,movie,My Neighbor Totoro,"[16, 35, 10751]",fear
tt0096288,movie,Landscape in the Mist,[18],fear
tt0096403,movie,Time of Violence,[18],fear
tt0096827,movie,Apoorva Sagodharargal,"[28, 35, 18]",anger
tt0096894,movie,"Bashu, the Little Stranger","[18, 10752]",fear
tt0097099,movie,Common Threads: Stories from the Quilt,"[-1, 99, 36]",love
tt0097165,movie,Dead Poets Society,"[35, 18]",anger
tt0097216,movie,Do the Right Thing,"[35, 18]",anger
tt0097223,movie,Time of the Gypsies,"[35, 80, 18]",anger
tt0097294,movie,Estación Central,"[80, 53]",anger
tt0097372,movie,For All Mankind,"[99, 36]",joy
tt0097437,movie,Gitanjali,"[18, 10749]",sadness
tt0097461,movie,Gua fu cun,[18],anger
tt0097576,movie,Indiana Jones and the Last Crusade,"[28, 12]",joy
tt0097791,movie,Dull Ice Flower,"[18, 10751]",joy
tt0097851,movie,Mathilukal,"[18, 10749]",anger
tt0097959,movie,Near Death,[99],anger
tt0098214,movie,Red Dawn,"[18, 53]",anger
tt0098227,movie,Route One USA,[99],joy
tt0098542,movie,"Ti, koyto si na nebeto",[18],anger
tt0098559,movie,The Architecture of Doom,"[99, 36]",anger
tt0098573,movie,Don't Let Them Shoot the Kite,"[80, 18]",love
tt0098723,movie,Zwei schräge Vögel,[35],anger
tt0099043,movie,Anjali,[18],sadness
tt0099348,movie,Dances with Wolves,"[12, 18, 37]",fear
tt0099639,movie,Coupable d'innocence ou quand la raison dort,"[80, 18]",fear
tt0099685,movie,Goodfellas,"[-1, 80, 18]",anger
tt0100158,movie,Misplaced,[18],joy
tt0100234,movie,Close-Up,"[-1, 80, 18]",joy
tt0100332,movie,Paris Is Burning,[99],joy
tt0100354,movie,The Master Carpenter,"[18, 36]",joy
tt0100692,movie,Step Across the Border,"[99, 10402]",anger
tt0100780,movie,Tichá bolest,[18],anger
tt0100905,movie,Weapons of the Spirit,[99],anger
tt0100988,movie,Going It Alone,[99],anger
tt0101279,movie,The Stranger,[18],anger
tt0101414,movie,Beauty and the Beast,"[16, 10751, 14]",joy
tt0101640,movie,Raise the Red Lantern,"[18, 10749]",anger
tt0101649,movie,Thalapathi,"[28, 80, 18]",anger
tt0101985,movie,A Brighter Summer Day,"[80, 18, 10749]",joy
tt0102015,movie,Hearts of Darkness: A Filmmaker's Apocalypse,[99],anger
tt0102134,movie,Ítéletlenül,[-1],anger
tt0102138,movie,JFK,"[18, 36, 53]",anger
tt0102223,movie,Kit Kat,"[35, 18, 10749]",anger
tt0102369,movie,Mother,[18],joy
tt0102701,movie,Prahaar: The Final Attack,"[28, 80, 18]",anger
tt0102926,movie,The Silence of the Lambs,"[80, 18, 53]",joy
tt0103064,movie,Terminator 2: Judgment Day,"[28, -1]",anger
tt0103639,movie,Aladdin,"[12, 16, 35]",anger
tt0103767,movie,Baraka,[99],joy
tt0104370,movie,Groza nad Rusyu,"[18, 36]",anger
tt0104531,movie,Ishi: The Last Yahi,[99],anger
tt0104561,movie,Jo Jeeta Wohi Sikandar,"[35, 18, 10749]",anger
tt0104810,movie,Manufacturing Consent: Noam Chomsky and the Media,"[-1, 99, 10752]",anger
tt0104860,movie,We Are Not Angels,"[35, 14, 10749]",anger
tt0105132,movie,La petite amie d'Antonio,"[18, 10749]",fear
tt0105208,movie,Ram Ke Naam,[99],anger
tt0105236,movie,Reservoir Dogs,"[80, 53]",anger
tt0105271,movie,Roja,"[18, 10749, 53]",anger
tt0105290,movie,"Roy Rogers, King of the Cowboys",[99],joy
tt0105323,movie,Scent of a Woman,[18],anger
tt0105575,movie,Thevar Magan,"[28, 18, 10749]",anger
tt0105602,movie,Tito and Me,"[35, 18, 10749]",joy
tt0105695,movie,Unforgiven,"[18, 37]",anger
tt0106332,movie,Farewell My Concubine,"[18, 10402, 10749]",sadness
tt0106407,movie,Bhagvad Gita: Song of the Lord,[18],anger
tt0106534,movie,The Earth's Most Beloved Son,[18],anger
tt0106634,movie,The Cure Show,[99],joy
tt0106800,movie,Ekattorer Jishu,[18],anger
tt0107048,movie,Groundhog Day,"[35, 18, 14]",anger
tt0107207,movie,In the Name of the Father,"[-1, 80, 18]",anger
tt0107290,movie,Jurassic Park,"[28, 12, -1]",joy
tt0107305,movie,Kanehsatake: 270 Years of Resistance,[99],anger
tt0107376,movie,Latcho Drom,"[99, 10402]",joy
tt0107472,movie,"The Wonderful, Horrible Life of Leni Riefenstahl","[-1, 99, 36]",sadness
tt0107767,movie,Padma Nadir Majhi,[18],joy
tt0108052,movie,Schindler's List,"[-1, 18, 36]",anger
tt0108138,movie,Silverlake Life: The View from Here,[99],sadness
tt0108256,movie,The Seventh Horse of the Sun,"[18, 10749]",anger
tt0108429,movie,Sun of the Sleepless,"[80, 18]",anger
tt0108489,movie,Videograms of a Revolution,"[99, 36, 10752]",anger
tt0108490,movie,Vidheyan,[18],anger
tt0108602,movie,Hill of No Return,"[80, 18, 36]",anger
tt0109117,movie,Andaz Apna Apna,"[28, 35, 10749]",anger
tt0109184,movie,Az igazi Mao,"[35, 99]",anger
tt0109235,movie,"Back to Back, Face to Face",[18],anger
tt0109394,movie,The Wheel,[18],anger
tt0109424,movie,Chungking Express,"[35, 80, 18]",anger
tt0109508,movie,Crumb,"[-1, 35, 99]",joy
tt0109580,movie,Death of a Nation: The Timor Conspiracy,[99],anger
tt0109584,movie,The Decline of the Century: Testament L.Z.,"[99, 36, 10752]",anger
tt0109619,movie,Dialogues with Madwomen,[99],anger
tt0109830,movie,Forrest Gump,"[18, 10749]",joy
tt0109839,movie,Freedom on My Mind,[99],anger
tt0109889,movie,Gesetz der Straße,[99],joy
tt0110028,movie,Highway of Heartache,"[35, -1]",anger
tt0110057,movie,Hoop Dreams,"[99, 18, -1]",joy
tt0110081,movie,To Live,"[18, 10752]",anger
tt0110357,movie,The Lion King,"[12, 16, 18]",sadness
tt0110409,movie,The Sweet Smell of Death,[10749],anger
tt0110413,movie,Léon: The Professional,"[28, 80, 18]",sadness
tt0110591,movie,Mukta,[18],anger
tt0110839,movie,"Pitra, Putra Aur Dharamyuddha","[99, 18]",fear
tt0110912,movie,Pulp Fiction,"[80, 18]",anger
tt0111161,movie,The Shawshank Redemption,[18],anger
tt0111341,movie,Satantango,[18],anger
tt0111467,movie,Dead Can Dance: Toward the Within,"[99, 10402]",anger
tt0111495,movie,Three Colors: Red,"[18, 9648, 10749]",anger
tt0111786,movie,In the Heat of the Sun,"[18, 10749]",anger
tt0111789,movie,The Bat,[18],anger
tt0112267,movie,A.K.A. Don Bonus,[99],joy
tt0112373,movie,Anne Frank Remembered,"[-1, 99, 10752]",joy
tt0112452,movie,Ballot Measure 9,[99],anger
tt0112471,movie,Before Sunrise,"[18, 10749]",sadness
tt0112487,movie,The Betrayed,[99],fear
tt0112553,movie,Bombay,"[18, 10749]",anger
tt0112573,movie,Braveheart,"[-1, 18, 36]",anger
tt0112641,movie,Casino,"[80, 18]",anger
tt0112870,movie,Dilwale Dulhania Le Jayenge,"[18, 10749]",joy
tt0113247,movie,La haine,"[80, 18]",fear
tt0113277,movie,Heat,"[28, 80, 18]",joy
tt0113311,movie,It's a Long Way to the Sea,[18],anger
tt0113758,movie,Man with a Plan,[35],fear
tt0113811,movie,Middle of the Moment,[99],fear
tt0114176,movie,Prerokbe Ognja,"[99, 10402]",anger
tt0114255,movie,The Reggae Movie,"[99, 10402]",joy
tt0114369,movie,Se7en,"[80, 18, 9648]",anger
tt0114486,movie,Sobyan wa banat,[99],anger
tt0114618,movie,Target,[18],anger
tt0114709,movie,Toy Story,"[12, 16, 35]",fear
tt0114746,movie,12 Monkeys,"[9648, -1, 53]",anger
tt0114787,movie,Underground,"[35, 18, 14]",anger
tt0114814,movie,The Usual Suspects,"[80, 18, 9648]",anger
tt0114894,movie,War Stories,"[99, 10749, 10752]",anger
tt0114897,movie,Watch the K Foundation Burn a Million Quid,[99],anger
tt0114914,movie,When Billy Broke His Head... and Other Tales of Wonder,"[-1, 99]",joy
tt0114930,movie,"Who's Counting? Marilyn Waring on Sex, Lies and Global Economics",[99],anger
tt0115486,movie,Zhong zi,[18],joy
tt0115577,movie,Asphalt Tango,[35],anger
tt0115716,movie,Blue Eyed,[99],sadness
tt0115762,movie,Broken Silence,[18],fear
tt0115843,movie,Castle Ghosts of Scotland,[18],sadness
tt0116231,movie,The Bandit,"[80, 18, 53]",anger
tt0116282,movie,Fargo,"[80, 53]",anger
tt0116360,movie,Freebird: The Movie,[99],joy
tt0116630,movie,Indian,"[28, 18, 53]",anger
tt0116753,movie,The Caucasian Night,"[35, 18]",anger
tt0116860,movie,"Pretty Village, Pretty Flame","[35, 18, 36]",anger
tt0117189,movie,No Easy Way,[18],fear
tt0117196,movie,Nobody's Business,"[-1, 99]",sadness
tt0117273,movie,Outsider,[18],anger
tt0117293,movie,Paradise Lost: The Child Murders at Robin Hood Hills,"[80, 99]",anger
tt0117307,movie,La passione,[10402],joy
tt0117310,movie,Paul Monette: The Brink of Summer's End,"[-1, 99]",anger
tt0117466,movie,Reprise,[99],anger
tt0117555,movie,The Perfect Circle,"[18, 10752]",anger
tt0117578,movie,Three Friends,[18],anger
tt0117589,movie,Secrets & Lies,"[35, 18]",anger
tt0117666,movie,Sling Blade,[18],sadness
tt0117822,movie,Buddha Bless America,[35],anger
tt0117905,movie,Comrades: Almost a Love Story,"[18, 10749]",sadness
tt0117907,movie,A Tickle in the Heart,"[99, 10402]",joy
tt0117951,movie,Trainspotting,[18],anger
tt0118011,movie,Premeditated Murder,"[18, 10749]",sadness
tt0118098,movie,Voci nel tempo,[18],joy
tt0118106,movie,A vád,[18],anger
tt0118147,movie,When We Were Kings,"[99, -1]",joy
tt0118521,movie,U2: Zoo TV Live from Sydney,"[99, 10402]",sadness
tt0118694,movie,In the Mood for Love,"[18, 10749]",anger
tt0118715,movie,The Big Lebowski,"[35, 80]",fear
tt0118799,movie,Life Is Beautiful,"[35, 18, 10749]",joy
tt0118843,movie,"Black Cat, White Cat","[35, 80, 10749]",anger
tt0118849,movie,Children of Heaven,"[18, 10751, -1]",sadness
tt0118947,movie,Death by Design: Where Parallel Worlds Meet,[99],anger
tt0119139,movie,Follow the Bitch,[35],anger
tt0119161,movie,Frost,[18],sadness
tt0119217,movie,Good Will Hunting,"[18, 10749]",sadness
tt0119385,movie,Iruvar,"[-1, 18]",anger
tt0119488,movie,L.A. Confidential,"[80, 18, 9648]",anger
tt0119698,movie,Princess Mononoke,"[28, 12, 16]",anger
tt0119786,movie,Night of the Coyote,[53],anger
tt0120382,movie,The Truman Show,"[35, 18]",joy
tt0120566,movie,The Way,[18],anger
tt0120586,movie,American History X,"[80, 18]",anger
tt0120689,movie,The Green Mile,"[80, 18, 14]",joy
tt0120731,movie,The Legend of 1900,"[18, 10402, 10749]",fear
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","[28, 35, 80]",anger
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,"[28, 12, 18]",joy
tt0120815,movie,Saving Private Ryan,"[18, 10752]",fear
tt0121063,movie,Ali Setan,"[35, 18, 10749]",anger
tt0121240,movie,Einstein on the Beach: The Changing Image of Opera,"[99, 10402]",joy
tt0122227,movie,Treasure Island,"[12, 16, 35]",fear
tt0122234,movie,The Meeting Point,"[35, 18, 14]",anger
tt0123730,movie,Le confort et l'indifférence,[99],anger
tt0124028,movie,The North End,[18],anger
tt0125144,movie,Miracle,[18],joy
tt0125551,movie,Thirteen,[18],anger
tt0126118,movie,Red Earth,[18],anger
tt0128332,movie,Innocence,[18],joy
tt0128798,movie,Skersiela,[99],joy
tt0129167,movie,The Iron Giant,"[28, 12, 16]",anger
tt0130752,movie,Gypsy Magic,"[35, 18]",sadness
tt0131636,movie,The Little Fox,"[12, 16, 35]",anger
tt0131797,movie,Aranycsapat,[99],joy
tt0132614,movie,A War Story,"[18, 10752]",anger
tt0133060,movie,Lebensläufe - Die Geschichte der Kinder von Golzow in einzelnen Porträts,[99],anger
tt0133093,movie,The Matrix,"[28, -1]",anger
tt0133157,movie,PNYC: Portishead - Roseland New York,"[99, 10402]",joy
tt0133162,movie,Some Birds Can't Fly,[18],sadness
tt0133282,movie,Year of the Dogs,"[99, -1]",sadness
tt0133709,movie,La deuda,[18],anger
tt0133826,movie,Guru,"[18, 14]",anger
tt0134278,movie,The Adventures of El Frenetico and Go Girl,"[28, 35]",anger
tt0134402,movie,Twenty Years Later,"[99, 36]",anger
tt0134786,movie,The Graduates,"[35, 10749]",joy
tt0134836,movie,The Mad Phoenix,"[-1, 18]",joy
tt0134859,movie,"Nuestra voz de tierra, memoria y futuro",[99],anger
tt0136491,movie,Riverdance: The Show,[10402],joy
tt0137204,movie,Joe Finds Grace,"[12, 16, 35]",joy
tt0137523,movie,Fight Club,[18],anger
tt0138020,movie,Piata Universitatii - Romania,[99],anger
tt0138052,movie,Rats in the Ranks,[99],joy
tt0138677,movie,Het ondergronds orkest,"[99, 36, 10402]",joy
tt0138689,movie,Paging Emma,[18],anger
tt0139876,movie,Baasha,"[28, 80, 18]",anger
tt0140090,movie,Guna,"[18, 10749]",anger
tt0140348,movie,Mahanadi,"[80, 18]",sadness
tt0140377,movie,Michael Madana Kama Rajan,[35],anger
tt0140422,movie,Una novia para David,"[35, 10749]",fear
tt0140534,movie,Sathi Leelavathi,"[35, 18]",anger
tt0140888,movie,Central Station,[18],anger
tt0140919,movie,Cotton Patch Gospel,[-1],anger
tt0141998,movie,The Last Spring,"[18, -1]",anger
tt0144624,movie,Die Storie van Klara Viljee,[18],anger
tt0144829,movie,One Hundred Children Waiting for a Train,[99],anger
tt0144940,movie,Fé,[99],anger
tt0145046,movie,Little Dieter Needs to Fly,"[-1, 99, 18]",sadness
tt0145456,movie,The Schedule,[14],joy
tt0147888,movie,Big Guns,[-1],joy
tt0148351,movie,Sergiu Celibidache's Garden,"[99, 10402]",anger
tt0148428,movie,Lucky People Center International,"[99, 10402]",joy
tt0149353,movie,Weld,"[99, 10402]",anger
tt0149896,movie,Bix: 'Ain't None of Them Play Like Him Yet',"[-1, 99, 10402]",joy
tt0150265,movie,Dance Craze,"[99, 10402]",anger
tt0151040,movie,Impossible Love,[18],anger
tt0151186,movie,Kapitan Krokus,"[12, -1]",anger
tt0151416,movie,The Lumière Brothers' First Films,"[99, 36]",joy
tt0153369,movie,Two Handfuls,[-1],anger
tt0154420,movie,The Celebration,[18],fear
tt0154464,movie,Eu sunt Adam!,"[18, 14]",joy
tt0155124,movie,Rudra Veena,"[18, 10402]",sadness
tt0155265,movie,Thillu Mullu,[35],anger
tt0155408,movie,Zara Si Zindagi,"[18, 10751, 10749]",sadness
tt0155487,movie,Amaram,[18],sadness
tt0155929,movie,Oru Minnaminunginte Nurungu Vettam,[18],sadness
tt0155953,movie,Pelli Pustakam,"[35, 18, 10749]",sadness
tt0155967,movie,Pranamam,[18],anger
tt0156060,movie,Seethamma Pelli,[18],anger
tt0156130,movie,Thazhvaram,"[80, 18, -1]",joy
tt0156887,movie,Perfect Blue,"[16, 80, 18]",sadness
tt0157736,movie,Hari Darshan,[14],joy
tt0157956,movie,"Queen: Magic Years, Volume Two - A Visual Anthology","[99, 10402]",joy
tt0157957,movie,"Queen: Magic Years, Volume Three - A Visual Anthology","[99, 10402]",joy
tt0157978,movie,Marry Me or Die,"[35, 10749]",joy
tt0158481,movie,Bagh Bahadur,[18],sadness
tt0158550,movie,Queen: Champions of the World,"[99, 10402]",anger
tt0158610,movie,The Fall of Rock & Roll,[35],anger
tt0158745,movie,"Queen: Magic Years, Volume One - A Visual Anthology","[99, 10402]",anger
tt0159686,movie,Queen Live in Rio,"[99, 10402]",joy
tt0163593,movie,The Cure in Orange,"[99, 10402]",fear
tt0163649,movie,Gospel According to Al Green,"[99, 10402]",joy
tt0163867,movie,Tax Day,[18],joy
tt0164094,movie,"Learn How to Read and Write, Son","[35, 18]",anger
tt0164634,movie,Heatstroke,[-1],anger
tt0164697,movie,"The Dumb Die Fast, the Smart Die Slow",[53],anger
tt0165546,movie,The Wounds,"[35, 80, 18]",anger
tt0166486,movie,Date Wine,"[18, 10749]",sadness
tt0166896,movie,The Straight Story,"[-1, 18]",joy
tt0167034,movie,Bee Gees: One for All Tour - Live in Australia 1989,[99],anger
tt0167236,movie,Kiss Vakond,[35],anger
tt0167260,movie,The Lord of the Rings: The Return of the King,"[28, 12, 18]",fear
tt0167261,movie,The Lord of the Rings: The Two Towers,"[28, 12, 18]",anger
tt0167330,movie,Peefeeyatko,"[-1, 99, 10402]",anger
tt0167331,movie,Cosy Dens,"[35, 18]",sadness
tt0167404,movie,The Sixth Sense,"[18, 9648, 53]",fear
tt0169102,movie,Lagaan: Once Upon a Time in India,"[18, -1, -1]",anger
tt0169547,movie,American Beauty,[18],sadness
tt0169858,movie,Neon Genesis Evangelion: The End of Evangelion,"[28, 16, 18]",joy
tt0170104,movie,Kay tagal kang hinintay,"[18, 10749]",love
tt0170532,movie,Ry Cooder & The Moula Banda Rhythm Aces: Let's Have a Ball,[99],anger
tt0170783,movie,Yesterday,[18],anger
tt0170884,movie,Cappuccino,[53],anger
tt0171564,movie,Nëntori i dytë,[18],anger
tt0172495,movie,Gladiator,"[28, 12, 18]",anger
tt0172811,movie,"My Dad, the Socialist Kulak",[35],sadness
tt0173615,movie,Adaptatziya,[18],anger
tt0173772,movie,My Voyage to Italy,[99],joy
tt0173956,movie,Ölsäm... bagisla,"[18, 10749]",anger
tt0174299,movie,In the Name of the People,[18],sadness
tt0175880,movie,Magnolia,[18],joy
tt0176093,movie,Return with Honor,[99],anger
tt0176318,movie,The Week That Girl Died,"[35, 18]",joy
tt0176694,movie,The Tragedy of Man,"[16, 18, 36]",anger
tt0176703,movie,Everybody Wants to Help Ernest,[35],joy
tt0179918,movie,Kamiondzije opet voze,"[35, 18]",sadness
tt0179955,movie,Cat City,"[12, 16, 35]",anger
tt0180093,movie,Requiem for a Dream,[18],joy
tt0184038,movie,The World of Tomorrow,[99],anger
tt0184756,movie,Mr. Muhsin,"[35, 18, 10402]",joy
tt0184765,movie,"Mémoires d'immigrés, l'héritage maghrébin",[99],anger
tt0185717,movie,Rollins: Talking from the Box,"[99, 10402]",joy
tt0185783,movie,You Saw Me Up There,[99],joy
tt0185859,movie,Baby Tsina,[18],joy
tt0186154,movie,Gaano kadalas ang minsan?,[18],joy
tt0186242,movie,Ipagpatawad mo,[18],sadness
tt0186265,movie,Karma,[18],anger
tt0186597,movie,Tagos ng dugo,"[80, 18, 53]",anger
tt0187115,movie,Kshana Kshanam,"[28, 35, 80]",anger
tt0187231,movie,Barking at the Stars,"[35, 10749]",anger
tt0187318,movie,Moondram Pirai,"[18, 10749]",sadness
tt0188626,movie,Fourteen Days in May,[99],anger
tt0190222,movie,Acta General de Chile,[99],anger
tt0191043,movie,The Color of Paradise,"[18, 10751]",anger
tt0191118,movie,Evolver: Making of Youthanasia,[99],anger
tt0191839,movie,Bob Marley Live in Concert,"[99, 10402]",joy
tt0192006,movie,Eyes Beyond Seeing,[18],anger
tt0192377,movie,The Knife,[18],anger
tt0192482,movie,The Way Home,"[18, 36]",joy
tt0194138,movie,"Massoud, the Afghan","[99, 36, 10752]",joy
tt0194196,movie,Nadie escuchaba,[99],anger
tt0195231,movie,Satya,"[28, 80, 18]",anger
tt0196342,movie,The Apocalypse According to Cioran,[99],anger
tt0197294,movie,The Magnifying Lens,[18],anger
tt0198781,movie,"Monsters, Inc.","[12, 16, 35]",fear
tt0200087,movie,Sarfarosh,"[28, 80, 18]",anger
tt0200698,movie,Het is een schone dag geweest,[99],sadness
tt0201368,movie,The Broken Landlord,"[35, 18]",anger
tt0202055,movie,Vanaprastham,[18],anger
tt0202281,movie,Dying at a Hospital,[18],sadness
tt0202390,movie,Herr Zwilling und Frau Zuckermann,[99],anger
tt0202831,movie,The Children of Chabannes,"[99, 10752]",joy
tt0203424,movie,Creative Process: Norman McLaren,"[-1, 99]",joy
tt0204425,movie,Kabamaru the Ninja,[35],joy
tt0204839,movie,The Art of Amália,"[-1, 99]",joy
tt0205306,movie,A Nameless Band,"[35, 18, 10402]",joy
tt0205727,movie,With Fire As Witness,[18],sadness
tt0206118,movie,Margarit i Margarita,[18],anger
tt0206348,movie,Tjoet Nja' Dhien,"[18, 10752]",joy
tt0206669,movie,All for Love,[18],anger
tt0206805,movie,Nós Que Aqui Estamos por Vós Esperamos,[99],joy
tt0206858,movie,Kopfleuchten,[99],anger
tt0207481,movie,Freshmen,[18],joy
tt0208092,movie,Snatch,"[35, 80]",anger
